pid,bc,dir,yds,succ,kne
829864,DS-2177,RT,15,1,0
829865,JA-1087,RE,3,1,0
829868,TM-3150,LE,2,0,0
829872,LB-0250,LG,1,0,0
829877,JA-1087,LE,8,1,0
829889,LB-0250,LG,1,1,0
829895,FG-0200,RG,1,0,0
829896,FG-0200,RG,2,0,0
829897,FG-0200,RG,2,0,0
829902,DW-3125,MD,-1,0,0
829907,LF-0650,LE,-1,0,0
829913,TH-1750,RE,5,1,0
829923,LF-0650,MD,2,0,0
829930,LM-1000,LE,13,1,0
829931,LM-1000,MD,2,0,0
829936,LF-0650,MD,5,1,0
829938,LF-0650,LE,12,1,0
829939,LF-0650,MD,3,0,0
829943,LF-0650,MD,3,0,0
829948,DW-3125,RE,3,0,0
829951,PM-0025,RE,2,0,0
829959,GM-1350,RE,6,0,0
829965,DW-3125,MD,4,1,0
829966,LM-1000,MD,4,1,0
829979,LF-0650,RE,6,1,0
829981,LF-0650,MD,1,0,0
829985,LF-0650,MD,14,1,0
829986,LF-0650,MD,6,1,0
829987,LF-0650,MD,2,0,0
829989,DW-3125,LE,1,0,0
829991,DW-3125,MD,2,1,0
829993,LM-1000,MD,2,1,0
829994,DW-3125,MD,0,0,0
830002,DW-3125,MD,1,1,0
830008,LF-0650,MD,10,0,0
830011,LM-1000,LE,3,1,0
830012,LM-1000,LE,31,1,0
830013,DW-3125,LE,-1,0,0
830018,LM-1000,MD,5,1,0
830022,DW-2275,RE,2,0,0
830025,RA-1337,MD,7,1,0
830026,LF-0650,MD,3,1,0
830031,LM-1000,MD,0,0,0
830032,LM-1000,MD,2,0,0
830037,DW-3125,MD,4,1,0
830038,DW-3125,MD,1,0,0
830052,LM-1000,MD,19,1,0
830053,DW-3125,MD,6,1,0
830054,DW-3125,MD,3,1,0
830055,DW-3125,MD,3,1,0
830056,MM-4700,NL,-1,0,1
830058,CM-1225,MD,5,1,0
830059,CM-1225,RT,17,1,0
830075,CM-1225,RT,3,0,0
830078,TG-1950,LT,0,0,0
830085,CM-1225,LT,6,1,0
830086,CM-1225,MD,6,1,0
830088,CM-1225,RT,3,0,0
830090,CM-1225,LG,-1,0,0
830093,TG-1950,MD,2,0,0
830095,TG-1950,LE,6,1,0
830096,RW-4050,RE,-4,0,0
830101,CN-0500,MD,-5,0,0
830102,MB-3862,LG,5,1,0
830103,MB-3862,MD,5,1,0
830106,CM-1225,RT,13,1,0
830107,CM-1225,RG,0,0,0
830112,TG-1950,RE,2,0,0
830115,TG-1950,LE,-2,0,0
830119,CM-1225,MD,1,0,0
830123,MB-3862,LG,1,0,0
830124,MB-3862,LT,17,1,0
830125,MB-3862,LG,1,0,0
830126,JG-1850,LE,3,0,0
830134,CM-1225,LG,12,1,0
830144,TG-1950,RG,25,1,0
830152,CN-0500,MD,3,0,0
830154,CM-1225,MD,1,0,0
830156,CM-1225,MD,6,1,0
830158,CM-1225,MD,8,1,0
830161,MB-3862,LT,7,1,0
830162,MB-3862,LG,2,1,0
830169,MB-3862,MD,4,1,0
830172,MB-3862,MD,10,1,0
