uid,pid,ptm,pen,desc,cat,pey,act
75625,832380,NYG,JJ-1550,Defensive Holding,5,5,A
75626,832390,NYG,DL-0490,Unnecessary Roughness,6,1,A
75627,832395,BUF,EO-0275,Neutral Zone,4,5,A
75628,832403,BUF,TN-0650,False Start,1,5,A
75629,832411,BUF,LS-1550,False Start,1,1,A
75630,832432,WAS,JS-5475,Offensive Holding,2,10,A
75631,832445,WAS,BS-0950,Offensive Holding,2,10,A
75632,832448,DAL,JL-1825,Defensive Holding,5,0,D
75633,832462,DAL,DL-0450,Roughing the Passer,6,15,A
75634,832463,DAL,AW-1950,Encroachment,4,5,A
75635,832464,WAS,BS-0950,Offensive Holding,2,10,A
75636,832468,DAL,CG-1450,Offensive Holding,2,2,A
75637,832484,WAS,CH-3475,Defensive Holding,5,0,D
75638,832490,WAS,MS-5675,Roughing the Passer,6,6,A
75639,832493,WAS,JM-6150,Defensive Holding,5,3,A
75640,832503,DAL,CW-2850,Offensive Holding,2,10,A
75641,832513,DAL,CC-4550,Encroachment,4,5,A
75642,832532,DAL,AC-2350,Offensive Holding,2,10,A
75643,832534,DAL,CW-2850,False Start,1,5,A
75644,832535,DAL,LC-0825,Illegal Block Above the Waist,7,0,D
75645,832537,WAS,JM-6150,Defensive Offside,4,0,D
75646,832559,DAL,DA-1625,Roughing the Passer,6,15,A
75647,832563,WAS,JS-5475,False Start,1,5,A
75648,832581,IND,ZF-0275,Offensive Holding,2,10,A
75649,832587,TEN,AJ-0050,Defensive Pass Interference,5,46,A
75650,832596,IND,MG-0875,Offensive Holding,2,9,A
75651,832615,IND,JB-5725,False Start,1,5,A
75652,832616,TEN,MB-5250,Defensive Pass Interference,5,9,A
75653,832620,IND,QN-0075,Offensive Holding,2,10,A
75654,832634,TEN,JC-4050,Offensive Holding,2,10,A
75655,832644,TEN,,Illegal Shift,3,0,D
75656,832654,IND,ZF-0275,Offensive Holding,2,0,D
75657,832662,IND,CG-0750,Defensive Holding,5,2,A
75658,832673,IND,TH-1850,Illegal Shift,3,0,D
