gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,eps,epa
5058,829389,GB,CHI,PASS,2,44,4,11,7,7,3,1,3,2,9,7,1,1,0,0,0,1,0,0,0,0,0,0,-1.07,2.73
5058,829390,GB,CHI,RUSH,3,47,4,10,23,7,3,1,3,1,10,35,2,0,0,0,0,1,0,0,0,0,0,0,1.66,-0.38
5058,829391,GB,CHI,NOPL,3,21,4,9,36,7,3,1,3,2,8,37,2,0,0,0,0,0,0,1,0,0,0,0,1.28,-0.58
5058,829392,GB,CHI,PASS,4,44,4,9,15,7,3,1,3,2,13,32,2,1,1,0,0,1,0,0,0,0,0,0,0.7,2.59
5058,829393,GB,CHI,PASS,5,9,4,8,31,7,3,1,3,1,10,60,4,0,0,1,0,0,0,0,0,0,0,0,3.29,-0.62
5058,829394,GB,CHI,RUSH,6,21,4,8,22,7,3,1,3,2,10,60,4,0,0,0,0,1,0,0,0,0,0,0,2.67,0.08
5058,829395,GB,CHI,NOPL,6,29,4,8,1,7,3,1,3,3,4,66,4,1,0,0,0,0,0,1,0,0,0,0,2.75,1.04
5058,829396,GB,CHI,RUSH,7,43,4,7,32,7,3,1,3,1,10,71,4,0,1,0,0,1,0,0,0,0,0,0,3.79,-0.56
5058,829397,GB,CHI,RUSH,8,44,4,6,49,7,3,1,3,2,10,71,4,0,0,0,0,1,0,0,0,0,0,0,3.23,-0.8
5058,829398,GB,CHI,RUSH,9,45,4,6,5,7,3,1,3,3,12,69,4,0,1,1,0,1,0,0,0,0,0,0,2.43,-0.08
5058,829399,GB,CHI,FGXP,10,5,4,5,20,7,3,1,3,4,2,79,4,0,0,0,3,0,0,0,0,0,0,0,2.35,0.65
5058,829400,CHI,GB,KOFF,0,6,4,5,15,3,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
