gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,eps,epa
5058,829307,(12:19) (Shotgun) M.Trubisky pass short middle to T.Cohen to GB 39 for 9 yards (D.Savage Jr.).,CHI,GB,PASS,3,43,2,12,19,3,7,2,2,2,10,52,3,9,Y,,Y,,,,,,,,MT-1800,Y,,SM,TC-1975,,DS-0712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,0.87
5058,829308,"(11:36) C.Patterson right guard to GB 41 for -2 yards (A.Amos; K.Clark). Penalty on CHI-J.Daniels, Offensive Holding, declined.",CHI,GB,RUSH,4,16,2,11,36,3,7,2,2,3,1,61,4,-2,,,,,,CP-0750,,RG,KC-1225,AA-0543,,,,,,,,,,,CHI,JD-0075,Offensive Holding,2,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,-2
5058,829309,"(11:20) (Punt formation) P.O'Donnell punts 37 yards to GB 4, Center-P.Scales, downed by CHI-J.Iyiegbuniwe.",GB,CHI,PUNT,0,10,2,11,20,7,3,2,2,4,3,59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO-0050,37,37,,,,,,,,,,,1.05,-0.32
5058,829310,(11:10) A.Rodgers pass short right to M.Valdes-Scantling to GB 13 for 9 yards (K.Fuller).,GB,CHI,PASS,1,40,2,11,10,7,3,2,2,1,10,4,1,9,Y,,,,,,,,,,AR-1300,Y,,SR,MV-0012,,KF-0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.73,0.64
5058,829311,(10:30) A.Rodgers pass short right to M.Valdes-Scantling to GB 14 for 1 yard (K.Fuller).,GB,CHI,PASS,2,44,2,10,30,7,3,2,2,2,1,13,1,1,Y,Y,,,,,,,,,AR-1300,Y,,SR,MV-0012,,KF-0500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,0.11
5058,829312,(9:46) J.Williams right tackle to GB 19 for 5 yards (D.Trevathan).,GB,CHI,RUSH,3,40,2,9,46,7,3,2,2,1,10,14,1,5,Y,,,,,JW-3650,,RT,DT-1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.07
5058,829313,(9:06) M.Valdes-Scantling left end to GB 19 for no gain (R.Robertson-Harris).,GB,CHI,RUSH,4,46,2,9,6,7,3,2,2,2,5,19,1,0,,,,,,MV-0012,,LE,RR-0850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,-0.69
5058,829314,(8:20) (Shotgun) A.Rodgers pass short left to D.Adams pushed ob at GB 30 for 11 yards (P.Amukamara).,GB,CHI,PASS,5,38,2,8,20,7,3,2,2,3,5,19,1,11,Y,Y,Y,,,,,,,,AR-1300,Y,,SL,DA-0212,,PA-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,1.89
5058,829315,(7:42) (Shotgun) A.Rodgers pass short left to J.Williams to GB 35 for 5 yards (B.Nichols; R.Smith).,GB,CHI,PASS,6,39,2,7,42,7,3,2,2,1,10,30,2,5,Y,,Y,,,,,,,,AR-1300,Y,,SL,JW-3650,,BN-0450,RS-2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29,0.03
5058,829316,(7:03) (Shotgun) J.Williams left tackle to GB 34 for -1 yards (R.Robertson-Harris).,GB,CHI,RUSH,7,44,2,7,3,7,3,2,2,2,5,35,2,-1,,,Y,,,JW-3650,,LT,RR-0850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,-0.84
